id,name,category,amount_sgd,recorded_on
1,reading-01,medical,819.34,2026-02-02
2,reading-02,school,686.54,2026-03-03
3,reading-03,insurance,568.60,2026-04-04
4,reading-04,utility,74.94,2026-05-05
5,reading-05,medical,851.66,2026-06-06
6,reading-06,school,894.35,2026-07-07
7,reading-07,insurance,395.31,2026-08-08
8,reading-08,utility,488.93,2026-09-09
9,reading-09,medical,600.98,2026-01-10
10,reading-10,school,155.18,2026-02-11
11,reading-11,insurance,642.99,2026-03-12
12,reading-12,utility,534.82,2026-04-13
13,reading-13,medical,64.61,2026-05-14
14,reading-14,school,519.67,2026-06-15
15,reading-15,insurance,614.74,2026-07-16
16,reading-16,utility,812.32,2026-08-17
17,reading-17,medical,232.75,2026-09-18
18,reading-18,school,75.65,2026-01-19
19,reading-19,insurance,132.96,2026-02-20
20,reading-20,utility,449.65,2026-03-21
